Period,Department,AccountCode,AccountName,AccountType,Scenario,ForecastSGD,DownsideSGD,UpsideSGD,DriverNote
2026-08,SME Lending,6200,Technology and Cloud,Opex,Base,-118982.86,-124932.01,-115413.38,H1 run-rate extended with 1.8% monthly growth assumption
2026-08,SME Lending,6300,People Cost,Opex,Base,-266463.64,-279786.83,-258469.74,H1 run-rate extended with 1.8% monthly growth assumption
2026-08,SME Lending,6400,Premises and Admin,Opex,Base,-54415.35,-57136.11,-52782.89,H1 run-rate extended with 1.8% monthly growth assumption
2026-08,SME Lending,6500,Compliance and Risk,Opex,Base,-43700.34,-45885.36,-42389.33,H1 run-rate extended with 1.8% monthly growth assumption
2026-08,SME Lending,7000,Credit Loss Provision,Provision,Base,-32750.54,-34388.07,-31768.03,H1 run-rate extended with 1.8% monthly growth assumption
2026-08,Enterprise,4000,Interest Income,Revenue,Base,1028024.56,956062.85,1089706.04,H1 run-rate extended with 1.8% monthly growth assumption
2026-08,Enterprise,4100,Fee and Commission Income,Revenue,Base,527820.56,490873.12,559489.8,H1 run-rate extended with 1.8% monthly growth assumption
2026-08,Enterprise,4200,Transaction Revenue,Revenue,Base,319834.52,297446.1,339024.59,H1 run-rate extended with 1.8% monthly growth assumption
2026-08,Enterprise,5000,Cost of Service Delivery,COGS,Base,-534578.24,-561307.15,-518540.89,H1 run-rate extended with 1.8% monthly growth assumption
2026-08,Enterprise,6100,Marketing and Acquisition,Opex,Base,-169168.6,-177627.03,-164093.54,H1 run-rate extended with 1.8% monthly growth assumption
2026-08,Enterprise,6200,Technology and Cloud,Opex,Base,-208694.68,-219129.41,-202433.83,H1 run-rate extended with 1.8% monthly growth assumption
2026-08,Enterprise,6300,People Cost,Opex,Base,-446939.12,-469286.08,-433530.95,H1 run-rate extended with 1.8% monthly growth assumption
2026-08,Enterprise,6400,Premises and Admin,Opex,Base,-94079.9,-98783.89,-91257.5,H1 run-rate extended with 1.8% monthly growth assumption
2026-08,Enterprise,6500,Compliance and Risk,Opex,Base,-76094.87,-79899.61,-73812.02,H1 run-rate extended with 1.8% monthly growth assumption
2026-08,Enterprise,7000,Credit Loss Provision,Provision,Base,-57049.5,-59901.97,-55338.01,H1 run-rate extended with 1.8% monthly growth assumption
2026-08,Digital Payments,4000,Interest Income,Revenue,Base,377648.24,351212.87,400307.14,H1 run-rate extended with 1.8% monthly growth assumption
2026-08,Digital Payments,4100,Fee and Commission Income,Revenue,Base,194049.25,180465.8,205692.21,H1 run-rate extended with 1.8% monthly growth assumption
2026-08,Digital Payments,4200,Transaction Revenue,Revenue,Base,117523.06,109296.44,124574.44,H1 run-rate extended with 1.8% monthly growth assumption
2026-08,Digital Payments,5000,Cost of Service Delivery,COGS,Base,-189108.9,-198564.35,-183435.63,H1 run-rate extended with 1.8% monthly growth assumption
2026-08,Digital Payments,6100,Marketing and Acquisition,Opex,Base,-62347.12,-65464.48,-60476.71,H1 run-rate extended with 1.8% monthly growth assumption
2026-08,Digital Payments,6200,Technology and Cloud,Opex,Base,-76526.45,-80352.77,-74230.66,H1 run-rate extended with 1.8% monthly growth assumption
2026-08,Digital Payments,6300,People Cost,Opex,Base,-167967.75,-176366.14,-162928.72,H1 run-rate extended with 1.8% monthly growth assumption
2026-08,Digital Payments,6400,Premises and Admin,Opex,Base,-34648.99,-36381.44,-33609.52,H1 run-rate extended with 1.8% monthly growth assumption
2026-08,Digital Payments,6500,Compliance and Risk,Opex,Base,-28085.92,-29490.21,-27243.34,H1 run-rate extended with 1.8% monthly growth assumption
2026-08,Digital Payments,7000,Credit Loss Provision,Provision,Base,-21055.35,-22108.12,-20423.69,H1 run-rate extended with 1.8% monthly growth assumption
2026-09,Retail Banking,4000,Interest Income,Revenue,Base,887242.78,825135.78,940477.34,H1 run-rate extended with 1.8% monthly growth assumption
2026-09,Retail Banking,4100,Fee and Commission Income,Revenue,Base,451493.89,419889.32,478583.53,H1 run-rate extended with 1.8% monthly growth assumption
2026-09,Retail Banking,4200,Transaction Revenue,Revenue,Base,276181.01,256848.34,292751.87,H1 run-rate extended with 1.8% monthly growth assumption
2026-09,Retail Banking,5000,Cost of Service Delivery,COGS,Base,-463041.83,-486193.92,-449150.58,H1 run-rate extended with 1.8% monthly growth assumption
2026-09,Retail Banking,6100,Marketing and Acquisition,Opex,Base,-146460.49,-153783.51,-142066.68,H1 run-rate extended with 1.8% monthly growth assumption
2026-09,Retail Banking,6200,Technology and Cloud,Opex,Base,-178572.94,-187501.59,-173215.75,H1 run-rate extended with 1.8% monthly growth assumption
2026-09,Retail Banking,6300,People Cost,Opex,Base,-382730.0,-401866.5,-371248.1,H1 run-rate extended with 1.8% monthly growth assumption
2026-09,Retail Banking,6400,Premises and Admin,Opex,Base,-82776.39,-86915.21,-80293.1,H1 run-rate extended with 1.8% monthly growth assumption
2026-09,Retail Banking,6500,Compliance and Risk,Opex,Base,-63102.74,-66257.88,-61209.66,H1 run-rate extended with 1.8% monthly growth assumption
2026-09,Retail Banking,7000,Credit Loss Provision,Provision,Base,-48495.12,-50919.87,-47040.26,H1 run-rate extended with 1.8% monthly growth assumption
2026-09,SME Lending,4000,Interest Income,Revenue,Base,615200.82,572136.77,652112.87,H1 run-rate extended with 1.8% monthly growth assumption
2026-09,SME Lending,4100,Fee and Commission Income,Revenue,Base,312076.34,290230.99,330800.92,H1 run-rate extended with 1.8% monthly growth assumption
2026-09,SME Lending,4200,Transaction Revenue,Revenue,Base,189071.34,175836.35,200415.62,H1 run-rate extended with 1.8% monthly growth assumption
2026-09,SME Lending,5000,Cost of Service Delivery,COGS,Base,-310811.74,-326352.32,-301487.39,H1 run-rate extended with 1.8% monthly growth assumption
2026-09,SME Lending,6100,Marketing and Acquisition,Opex,Base,-98022.47,-102923.59,-95081.79,H1 run-rate extended with 1.8% monthly growth assumption
2026-09,SME Lending,6200,Technology and Cloud,Opex,Base,-121050.13,-127102.64,-117418.63,H1 run-rate extended with 1.8% monthly growth assumption
2026-09,SME Lending,6300,People Cost,Opex,Base,-271093.32,-284647.99,-262960.52,H1 run-rate extended with 1.8% monthly growth assumption
2026-09,SME Lending,6400,Premises and Admin,Opex,Base,-55360.79,-58128.83,-53699.96,H1 run-rate extended with 1.8% monthly growth assumption
2026-09,SME Lending,6500,Compliance and Risk,Opex,Base,-44459.61,-46682.59,-43125.83,H1 run-rate extended with 1.8% monthly growth assumption
2026-09,SME Lending,7000,Credit Loss Provision,Provision,Base,-33319.57,-34985.55,-32319.98,H1 run-rate extended with 1.8% monthly growth assumption
2026-09,Enterprise,4000,Interest Income,Revenue,Base,1045886.0,972673.98,1108639.16,H1 run-rate extended with 1.8% monthly growth assumption
2026-09,Enterprise,4100,Fee and Commission Income,Revenue,Base,536991.19,499401.81,569210.66,H1 run-rate extended with 1.8% monthly growth assumption
2026-09,Enterprise,4200,Transaction Revenue,Revenue,Base,325391.49,302614.09,344914.98,H1 run-rate extended with 1.8% monthly growth assumption
2026-09,Enterprise,5000,Cost of Service Delivery,COGS,Base,-543866.27,-571059.59,-527550.29,H1 run-rate extended with 1.8% monthly growth assumption
2026-09,Enterprise,6100,Marketing and Acquisition,Opex,Base,-172107.83,-180713.22,-166944.59,H1 run-rate extended with 1.8% monthly growth assumption
2026-09,Enterprise,6200,Technology and Cloud,Opex,Base,-212320.64,-222936.68,-205951.03,H1 run-rate extended with 1.8% monthly growth assumption
2026-09,Enterprise,6300,People Cost,Opex,Base,-454704.47,-477439.69,-441063.34,H1 run-rate extended with 1.8% monthly growth assumption
2026-09,Enterprise,6400,Premises and Admin,Opex,Base,-95714.49,-100500.21,-92843.06,H1 run-rate extended with 1.8% monthly growth assumption
2026-09,Enterprise,6500,Compliance and Risk,Opex,Base,-77416.98,-81287.83,-75094.47,H1 run-rate extended with 1.8% monthly growth assumption
2026-09,Enterprise,7000,Credit Loss Provision,Provision,Base,-58040.71,-60942.74,-56299.48,H1 run-rate extended with 1.8% monthly growth assumption
2026-09,Digital Payments,4000,Interest Income,Revenue,Base,384209.7,357315.02,407262.28,H1 run-rate extended with 1.8% monthly growth assumption
2026-09,Digital Payments,4100,Fee and Commission Income,Revenue,Base,197420.76,183601.31,209266.01,H1 run-rate extended with 1.8% monthly growth assumption
2026-09,Digital Payments,4200,Transaction Revenue,Revenue,Base,119564.96,111195.42,126738.86,H1 run-rate extended with 1.8% monthly growth assumption
2026-09,Digital Payments,5000,Cost of Service Delivery,COGS,Base,-192394.58,-202014.3,-186622.74,H1 run-rate extended with 1.8% monthly growth assumption
2026-09,Digital Payments,6100,Marketing and Acquisition,Opex,Base,-63430.37,-66601.89,-61527.46,H1 run-rate extended with 1.8% monthly growth assumption
2026-09,Digital Payments,6200,Technology and Cloud,Opex,Base,-77856.06,-81748.86,-75520.38,H1 run-rate extended with 1.8% monthly growth assumption
2026-09,Digital Payments,6300,People Cost,Opex,Base,-170886.11,-179430.41,-165759.52,H1 run-rate extended with 1.8% monthly growth assumption
2026-09,Digital Payments,6400,Premises and Admin,Opex,Base,-35251.0,-37013.55,-34193.47,H1 run-rate extended with 1.8% monthly growth assumption
2026-09,Digital Payments,6500,Compliance and Risk,Opex,Base,-28573.9,-30002.59,-27716.68,H1 run-rate extended with 1.8% monthly growth assumption
2026-09,Digital Payments,7000,Credit Loss Provision,Provision,Base,-21421.18,-22492.24,-20778.54,H1 run-rate extended with 1.8% monthly growth assumption
2026-10,Retail Banking,4000,Interest Income,Revenue,Base,902394.93,839227.29,956538.63,H1 run-rate extended with 1.8% monthly growth assumption
2026-10,Retail Banking,4100,Fee and Commission Income,Revenue,Base,459204.41,427060.11,486756.68,H1 run-rate extended with 1.8% monthly growth assumption
2026-10,Retail Banking,4200,Transaction Revenue,Revenue,Base,280897.57,261234.74,297751.43,H1 run-rate extended with 1.8% monthly growth assumption
2026-10,Retail Banking,5000,Cost of Service Delivery,COGS,Base,-470949.57,-494497.05,-456821.08,H1 run-rate extended with 1.8% monthly growth assumption
2026-10,Retail Banking,6100,Marketing and Acquisition,Opex,Base,-148961.71,-156409.8,-144492.86,H1 run-rate extended with 1.8% monthly growth assumption
2026-10,Retail Banking,6200,Technology and Cloud,Opex,Base,-181622.57,-190703.7,-176173.89,H1 run-rate extended with 1.8% monthly growth assumption
2026-10,Retail Banking,6300,People Cost,Opex,Base,-389266.18,-408729.49,-377588.2,H1 run-rate extended with 1.8% monthly growth assumption
2026-10,Retail Banking,6400,Premises and Admin,Opex,Base,-84190.03,-88399.53,-81664.33,H1 run-rate extended with 1.8% monthly growth assumption
2026-10,Retail Banking,6500,Compliance and Risk,Opex,Base,-64180.4,-67389.42,-62254.99,H1 run-rate extended with 1.8% monthly growth assumption
2026-10,Retail Banking,7000,Credit Loss Provision,Provision,Base,-49323.31,-51789.47,-47843.61,H1 run-rate extended with 1.8% monthly growth assumption
2026-10,SME Lending,4000,Interest Income,Revenue,Base,625707.1,581907.6,663249.53,H1 run-rate extended with 1.8% monthly growth assumption
2026-10,SME Lending,4100,Fee and Commission Income,Revenue,Base,317405.91,295187.5,336450.27,H1 run-rate extended with 1.8% monthly growth assumption
2026-10,SME Lending,4200,Transaction Revenue,Revenue,Base,192300.26,178839.24,203838.28,H1 run-rate extended with 1.8% monthly growth assumption
2026-10,SME Lending,5000,Cost of Service Delivery,COGS,Base,-316119.72,-331925.7,-306636.13,H1 run-rate extended with 1.8% monthly growth assumption
2026-10,SME Lending,6100,Marketing and Acquisition,Opex,Base,-99696.47,-104681.3,-96705.58,H1 run-rate extended with 1.8% monthly growth assumption
2026-10,SME Lending,6200,Technology and Cloud,Opex,Base,-123117.4,-129273.27,-119423.88,H1 run-rate extended with 1.8% monthly growth assumption
2026-10,SME Lending,6300,People Cost,Opex,Base,-275723.0,-289509.15,-267451.31,H1 run-rate extended with 1.8% monthly growth assumption
2026-10,SME Lending,6400,Premises and Admin,Opex,Base,-56306.23,-59121.54,-54617.04,H1 run-rate extended with 1.8% monthly growth assumption
2026-10,SME Lending,6500,Compliance and Risk,Opex,Base,-45218.89,-47479.83,-43862.32,H1 run-rate extended with 1.8% monthly growth assumption
2026-10,SME Lending,7000,Credit Loss Provision,Provision,Base,-33888.59,-35583.02,-32871.94,H1 run-rate extended with 1.8% monthly growth assumption
2026-10,Enterprise,4000,Interest Income,Revenue,Base,1063747.43,989285.11,1127572.27,H1 run-rate extended with 1.8% monthly growth assumption
2026-10,Enterprise,4100,Fee and Commission Income,Revenue,Base,546161.82,507930.49,578931.53,H1 run-rate extended with 1.8% monthly growth assumption
2026-10,Enterprise,4200,Transaction Revenue,Revenue,Base,330948.46,307782.07,350805.37,H1 run-rate extended with 1.8% monthly growth assumption
2026-10,Enterprise,5000,Cost of Service Delivery,COGS,Base,-553154.31,-580812.03,-536559.68,H1 run-rate extended with 1.8% monthly growth assumption
2026-10,Enterprise,6100,Marketing and Acquisition,Opex,Base,-175047.05,-183799.4,-169795.64,H1 run-rate extended with 1.8% monthly growth assumption
2026-10,Enterprise,6200,Technology and Cloud,Opex,Base,-215946.61,-226743.94,-209468.22,H1 run-rate extended with 1.8% monthly growth assumption
2026-10,Enterprise,6300,People Cost,Opex,Base,-462469.82,-485593.31,-448595.73,H1 run-rate extended with 1.8% monthly growth assumption
2026-10,Enterprise,6400,Premises and Admin,Opex,Base,-97349.08,-102216.54,-94428.61,H1 run-rate extended with 1.8% monthly growth assumption
2026-10,Enterprise,6500,Compliance and Risk,Opex,Base,-78739.09,-82676.05,-76376.92,H1 run-rate extended with 1.8% monthly growth assumption
2026-10,Enterprise,7000,Credit Loss Provision,Provision,Base,-59031.91,-61983.51,-57260.96,H1 run-rate extended with 1.8% monthly growth assumption
2026-10,Digital Payments,4000,Interest Income,Revenue,Base,390771.16,363417.17,414217.42,H1 run-rate extended with 1.8% monthly growth assumption
2026-10,Digital Payments,4100,Fee and Commission Income,Revenue,Base,200792.28,186736.82,212839.81,H1 run-rate extended with 1.8% monthly growth assumption
2026-10,Digital Payments,4200,Transaction Revenue,Revenue,Base,121606.87,113094.39,128903.28,H1 run-rate extended with 1.8% monthly growth assumption
2026-10,Digital Payments,5000,Cost of Service Delivery,COGS,Base,-195680.25,-205464.26,-189809.84,H1 run-rate extended with 1.8% monthly growth assumption
2026-10,Digital Payments,6100,Marketing and Acquisition,Opex,Base,-64513.62,-67739.3,-62578.21,H1 run-rate extended with 1.8% monthly growth assumption
2026-10,Digital Payments,6200,Technology and Cloud,Opex,Base,-79185.67,-83144.95,-76810.1,H1 run-rate extended with 1.8% monthly growth assumption
2026-10,Digital Payments,6300,People Cost,Opex,Base,-173804.47,-182494.69,-168590.33,H1 run-rate extended with 1.8% monthly growth assumption
2026-10,Digital Payments,6400,Premises and Admin,Opex,Base,-35853.01,-37645.66,-34777.42,H1 run-rate extended with 1.8% monthly growth assumption
2026-10,Digital Payments,6500,Compliance and Risk,Opex,Base,-29061.88,-30514.97,-28190.02,H1 run-rate extended with 1.8% monthly growth assumption
2026-10,Digital Payments,7000,Credit Loss Provision,Provision,Base,-21787.0,-22876.35,-21133.39,H1 run-rate extended with 1.8% monthly growth assumption
2026-11,Retail Banking,4000,Interest Income,Revenue,Base,917547.09,853318.79,972599.91,H1 run-rate extended with 1.8% monthly growth assumption
2026-11,Retail Banking,4100,Fee and Commission Income,Revenue,Base,466914.94,434230.89,494929.83,H1 run-rate extended with 1.8% monthly growth assumption
2026-11,Retail Banking,4200,Transaction Revenue,Revenue,Base,285614.14,265621.15,302750.99,H1 run-rate extended with 1.8% monthly growth assumption
2026-11,Retail Banking,5000,Cost of Service Delivery,COGS,Base,-478857.3,-502800.17,-464491.58,H1 run-rate extended with 1.8% monthly growth assumption
2026-11,Retail Banking,6100,Marketing and Acquisition,Opex,Base,-151462.94,-159036.08,-146919.05,H1 run-rate extended with 1.8% monthly growth assumption
2026-11,Retail Banking,6200,Technology and Cloud,Opex,Base,-184672.2,-193905.81,-179132.04,H1 run-rate extended with 1.8% monthly growth assumption
2026-11,Retail Banking,6300,People Cost,Opex,Base,-395802.37,-415592.49,-383928.3,H1 run-rate extended with 1.8% monthly growth assumption
2026-11,Retail Banking,6400,Premises and Admin,Opex,Base,-85603.67,-89883.85,-83035.56,H1 run-rate extended with 1.8% monthly growth assumption
2026-11,Retail Banking,6500,Compliance and Risk,Opex,Base,-65258.06,-68520.96,-63300.31,H1 run-rate extended with 1.8% monthly growth assumption
2026-11,Retail Banking,7000,Credit Loss Provision,Provision,Base,-50151.5,-52659.07,-48646.95,H1 run-rate extended with 1.8% monthly growth assumption
2026-11,SME Lending,4000,Interest Income,Revenue,Base,636213.38,591678.44,674386.18,H1 run-rate extended with 1.8% monthly growth assumption
2026-11,SME Lending,4100,Fee and Commission Income,Revenue,Base,322735.49,300144.01,342099.62,H1 run-rate extended with 1.8% monthly growth assumption
2026-11,SME Lending,4200,Transaction Revenue,Revenue,Base,195529.18,181842.14,207260.94,H1 run-rate extended with 1.8% monthly growth assumption
2026-11,SME Lending,5000,Cost of Service Delivery,COGS,Base,-321427.7,-337499.08,-311784.87,H1 run-rate extended with 1.8% monthly growth assumption
2026-11,SME Lending,6100,Marketing and Acquisition,Opex,Base,-101370.48,-106439.01,-98329.37,H1 run-rate extended with 1.8% monthly growth assumption
2026-11,SME Lending,6200,Technology and Cloud,Opex,Base,-125184.67,-131443.91,-121429.13,H1 run-rate extended with 1.8% monthly growth assumption
2026-11,SME Lending,6300,People Cost,Opex,Base,-280352.68,-294370.31,-271942.1,H1 run-rate extended with 1.8% monthly growth assumption
2026-11,SME Lending,6400,Premises and Admin,Opex,Base,-57251.67,-60114.25,-55534.12,H1 run-rate extended with 1.8% monthly growth assumption
2026-11,SME Lending,6500,Compliance and Risk,Opex,Base,-45978.16,-48277.07,-44598.81,H1 run-rate extended with 1.8% monthly growth assumption
2026-11,SME Lending,7000,Credit Loss Provision,Provision,Base,-34457.62,-36180.5,-33423.89,H1 run-rate extended with 1.8% monthly growth assumption
2026-11,Enterprise,4000,Interest Income,Revenue,Base,1081608.86,1005896.24,1146505.39,H1 run-rate extended with 1.8% monthly growth assumption
2026-11,Enterprise,4100,Fee and Commission Income,Revenue,Base,555332.44,516459.17,588652.39,H1 run-rate extended with 1.8% monthly growth assumption
2026-11,Enterprise,4200,Transaction Revenue,Revenue,Base,336505.43,312950.05,356695.76,H1 run-rate extended with 1.8% monthly growth assumption
2026-11,Enterprise,5000,Cost of Service Delivery,COGS,Base,-562442.35,-590564.47,-545569.08,H1 run-rate extended with 1.8% monthly growth assumption
2026-11,Enterprise,6100,Marketing and Acquisition,Opex,Base,-177986.27,-186885.58,-172646.68,H1 run-rate extended with 1.8% monthly growth assumption
2026-11,Enterprise,6200,Technology and Cloud,Opex,Base,-219572.58,-230551.21,-212985.41,H1 run-rate extended with 1.8% monthly growth assumption
2026-11,Enterprise,6300,People Cost,Opex,Base,-470235.17,-493746.93,-456128.12,H1 run-rate extended with 1.8% monthly growth assumption
2026-11,Enterprise,6400,Premises and Admin,Opex,Base,-98983.68,-103932.86,-96014.17,H1 run-rate extended with 1.8% monthly growth assumption
2026-11,Enterprise,6500,Compliance and Risk,Opex,Base,-80061.2,-84064.27,-77659.37,H1 run-rate extended with 1.8% monthly growth assumption
2026-11,Enterprise,7000,Credit Loss Provision,Provision,Base,-60023.12,-63024.28,-58222.43,H1 run-rate extended with 1.8% monthly growth assumption
2026-11,Digital Payments,4000,Interest Income,Revenue,Base,397332.61,369519.33,421172.57,H1 run-rate extended with 1.8% monthly growth assumption
2026-11,Digital Payments,4100,Fee and Commission Income,Revenue,Base,204163.79,189872.32,216413.62,H1 run-rate extended with 1.8% monthly growth assumption
2026-11,Digital Payments,4200,Transaction Revenue,Revenue,Base,123648.78,114993.36,131067.7,H1 run-rate extended with 1.8% monthly growth assumption
